user_id,age,gender,city,session_duration,pages_viewed,total_clicks,cart_value,discount_applied,payment_method,product_category,device_type,month,purchased
1,56,Other,Phoenix,3.73,5,9,153.09,0,Debit Card,Electronics,Tablet,Feb,1
2,46,Male,Los Angeles,18.59,4,19,93.52,0,PayPal,Books,Tablet,May,0
3,32,Female,Los Angeles,24.89,6,10,312.53,0,PayPal,Clothing,Desktop,Mar,1
4,60,Female,Chicago,17.72,4,9,206.9,0,Debit Card,Home,Desktop,Jan,1
5,25,Male,Houston,17.7,6,14,23.11,1,Debit Card,Sports,Tablet,Jun,1
6,38,Female,Houston,18.21,4,16,100.26,0,Debit Card,Electronics,Desktop,Feb,1
7,56,Other,Los Angeles,12.42,2,12,248.09,1,COD,Sports,Desktop,May,0
8,36,Other,Houston,21.07,4,14,322.1,0,Credit Card,Home,Desktop,Jun,1
9,40,Female,Chicago,27.19,1,9,106.32,0,Debit Card,Electronics,Desktop,Apr,1
10,28,Other,Chicago,15.33,9,13,79.73,1,PayPal,Electronics,Mobile,May,1
11,28,Other,Phoenix,8.96,2,12,74.41,1,Debit Card,Electronics,Tablet,Jun,1
12,41,Male,Houston,3.92,5,16,200.14,1,Debit Card,Home,Mobile,Feb,1
13,53,Other,Phoenix,19.01,6,12,230.26,1,PayPal,Sports,Mobile,May,1
14,57,Male,New York,19.91,5,9,143.87,0,Credit Card,Clothing,Mobile,Feb,1
15,41,Female,Chicago,17.91,4,14,180.93,0,Debit Card,Home,Tablet,Jan,0
16,20,Male,Los Angeles,13.12,3,14,201.21,0,COD,Sports,Desktop,Jan,0
17,39,Female,Chicago,17.22,7,14,85.89,0,PayPal,Electronics,Mobile,Jun,0
18,19,Female,New York,10.72,2,17,323.35,0,Debit Card,Books,Mobile,Feb,1
19,41,Female,Los Angeles,9.31,0,13,229.02,0,Debit Card,Sports,Mobile,Mar,1
20,61,Female,Houston,7.03,5,14,192.97,0,Debit Card,Sports,Mobile,Jan,1
21,47,Female,Houston,7.11,4,15,169.03,1,COD,Books,Tablet,Apr,1
22,55,Male,Chicago,19.24,3,9,137.63,0,PayPal,Electronics,Tablet,Jun,0
23,19,Female,Los Angeles,12.85,3,12,190.4,1,Debit Card,Sports,Mobile,May,0
24,38,Other,Los Angeles,9.55,7,11,168.31,0,PayPal,Books,Desktop,Mar,1
25,50,Other,Phoenix,4.1,6,16,130.76,0,COD,Sports,Tablet,May,0
26,29,Female,New York,20.37,5,15,172.84,0,COD,Clothing,Desktop,Jun,0
27,39,Other,Houston,23.56,4,11,55.61,0,Debit Card,Sports,Mobile,Apr,1
28,61,Male,Chicago,6.81,4,11,209.01,1,PayPal,Clothing,Desktop,Mar,0
29,42,Male,Los Angeles,14.0,6,15,228.63,0,Credit Card,Books,Mobile,Jan,1
30,44,Female,Houston,7.54,6,10,-30.74,0,Debit Card,Sports,Mobile,Feb,1
31,59,Female,Chicago,13.87,3,7,339.68,1,COD,Clothing,Tablet,Mar,1
32,45,Female,Houston,19.86,3,15,214.38,0,PayPal,Electronics,Mobile,Mar,1
33,33,Other,Chicago,27.95,3,9,92.45,0,COD,Sports,Desktop,Feb,1
34,32,Other,Houston,11.42,1,10,104.57,0,COD,Clothing,Mobile,May,1
35,64,Male,Phoenix,20.6,6,9,185.93,0,Debit Card,Sports,Tablet,Mar,1
36,61,Other,New York,20.79,5,12,277.02,0,PayPal,Books,Tablet,May,1
37,20,Male,Houston,13.79,6,12,123.58,0,COD,Sports,Tablet,Apr,0
38,54,Other,New York,24.28,3,13,167.45,1,PayPal,Electronics,Desktop,Feb,1
39,24,Male,Houston,12.38,4,16,104.6,1,PayPal,Sports,Mobile,Feb,0
40,38,Female,Los Angeles,18.48,6,13,209.08,0,Credit Card,Electronics,Tablet,Mar,0
41,26,Other,Phoenix,10.41,8,16,181.54,1,Credit Card,Home,Mobile,Jun,1
42,56,Male,Phoenix,19.25,5,12,178.43,1,Debit Card,Home,Tablet,Apr,0
43,35,Other,New York,18.45,1,9,90.35,1,PayPal,Home,Tablet,Mar,0
44,21,Female,Los Angeles,24.5,4,10,140.57,0,Debit Card,Electronics,Desktop,Apr,0
45,42,Male,Chicago,29.68,5,8,285.0,0,Credit Card,Clothing,Tablet,Jun,0
46,31,Other,Phoenix,22.33,5,5,301.28,0,Debit Card,Clothing,Desktop,Apr,0
47,26,Other,Los Angeles,20.37,4,20,212.24,0,Credit Card,Sports,Mobile,May,0
48,43,Female,Los Angeles,11.87,5,11,186.1,0,Credit Card,Sports,Desktop,Jan,0
49,19,Female,New York,-3.13,10,7,4.13,1,COD,Home,Desktop,May,0
50,37,Male,Los Angeles,25.39,3,10,171.46,0,COD,Books,Tablet,Mar,1
51,45,Other,Los Angeles,29.85,4,15,89.94,1,Debit Card,Clothing,Desktop,Jan,1
52,64,Other,Chicago,17.5,10,9,67.86,1,COD,Home,Mobile,Feb,0
53,24,Female,New York,6.95,2,10,173.6,0,PayPal,Books,Desktop,Apr,1
54,61,Female,New York,26.02,3,14,197.24,1,COD,Sports,Mobile,Jun,1
55,25,Male,Los Angeles,23.84,3,2,109.32,1,COD,Clothing,Tablet,Feb,0
56,64,Other,Chicago,-1.3,6,10,165.64,0,PayPal,Electronics,Mobile,Apr,0
57,52,Other,Houston,16.12,3,17,226.05,1,COD,Electronics,Desktop,Feb,1
58,31,Male,Phoenix,16.94,5,11,173.89,0,PayPal,Home,Desktop,Feb,1
59,34,Male,New York,2.16,11,12,104.29,1,Credit Card,Clothing,Desktop,Feb,1
60,53,Female,Chicago,6.37,6,18,91.34,0,Debit Card,Home,Desktop,Jan,0
61,57,Female,Chicago,23.73,1,13,153.1,1,PayPal,Clothing,Mobile,Apr,1
62,21,Male,Los Angeles,15.56,7,17,182.04,1,Credit Card,Sports,Mobile,Apr,1
63,19,Male,Phoenix,7.4,3,8,76.73,0,COD,Clothing,Tablet,Jun,1
64,23,Other,New York,9.64,3,12,244.5,1,PayPal,Home,Mobile,Feb,1
65,59,Male,Houston,5.39,4,16,192.68,1,Credit Card,Electronics,Tablet,Apr,1
66,21,Male,Los Angeles,15.6,5,16,61.35,0,Debit Card,Home,Desktop,May,1
67,46,Other,New York,21.02,5,14,86.24,1,Credit Card,Home,Desktop,Jan,1
68,35,Male,New York,24.41,6,10,115.34,0,Credit Card,Sports,Mobile,Jun,0
69,43,Female,Chicago,9.66,7,11,-29.47,0,Debit Card,Clothing,Desktop,Jan,0
70,61,Female,Phoenix,12.17,4,14,125.81,1,COD,Books,Mobile,May,1
71,51,Other,Houston,19.01,8,12,143.48,1,Debit Card,Electronics,Tablet,Jan,1
72,27,Male,Phoenix,22.62,8,11,45.54,1,Debit Card,Books,Tablet,May,1
73,53,Female,Chicago,17.97,8,11,135.79,1,Credit Card,Sports,Mobile,May,1
